setup_id,trigger_date,target_ticker,horizon_days,entry_direction,underlying_entry_px,Underlying_Exit_Price,Return_Underlying,ivol_at_entry,pnl_per_share,option_type,strike_price,entry_premium,exit_value,pnl_dollars,skipped_reason
S0003,2021-03-11,XLK US Equity,10,short,132.36,131.87,-0.0037020247809006427,26.04,-1.7911960841248713,put,132.36,2.2811960841248804,0.4900000000000091,-179.11960841248714,None
S0003,2021-03-12,XLK US Equity,10,short,131.41,131.87,0.003500494635111544,27.613,-2.4016343536956493,put,131.41,2.4016343536956493,0.0,-240.16343536956492,None
S0003,2021-12-03,XLK US Equity,10,short,165.13,172.28,0.043299218797311245,27.882,-3.0472969906983773,put,165.13,3.0472969906983773,0.0,-304.72969906983775,None
S0003,2021-12-06,XLK US Equity,10,short,166.7,169.01,0.013857228554289157,25.092,-2.768444093557802,put,166.7,2.768444093557802,0.0,-276.8444093557802,None
S0003,2021-12-07,XLK US Equity,10,short,172.52,167.88,-0.026895432413633288,21.021,2.239743244343048,put,172.52,2.400256755656967,4.640000000000015,223.97432443430478,None
S0003,2021-12-08,XLK US Equity,10,short,173.31,167.88,-0.03133114073048299,19.935,3.1433234330872986,put,173.31,2.2866765669127083,5.430000000000007,314.33234330872983,None
S0003,2021-12-09,XLK US Equity,10,short,171.44,165.57,-0.034239384041063955,22.095,3.3629035440991597,put,171.44,2.507096455900845,5.8700000000000045,336.29035440991595,None
S0003,2025-02-21,XLK US Equity,10,short,234.87,218.67,-0.06897432622301707,22.224,12.745265673412646,put,234.87,3.4547343265873707,16.200000000000017,1274.5265673412646,None
S0003,2025-02-25,XLK US Equity,10,short,228.51,218.54,-0.04363047569034178,25.008,6.187760289943233,put,228.51,3.7822397100567655,9.969999999999999,618.7760289943233,None
S0003,2021-03-09,XLK US Equity,21,short,130.11,130.73,0.004765198678041473,24.215,-3.0218275520852456,put,130.11,3.0218275520852456,0.0,-302.18275520852455,None
S0003,2021-03-10,XLK US Equity,21,short,129.59,132.81,0.024847596265143906,28.295,-3.5168651370098645,put,129.59,3.5168651370098645,0.0,-351.68651370098644,None
S0003,2021-03-11,XLK US Equity,21,short,132.36,135.48,0.023572076155938166,26.04,-3.3057671886985696,put,132.36,3.3057671886985696,0.0,-330.57671886985696,None
S0003,2021-03-12,XLK US Equity,21,short,131.41,135.48,0.03097176774979068,27.613,-3.480298822599483,put,131.41,3.480298822599483,0.0,-348.0298822599483,None
S0003,2021-12-03,XLK US Equity,21,short,165.13,172.94,0.047296069763216875,27.882,-4.415952874973952,put,165.13,4.415952874973952,0.0,-441.5952874973952,None
S0003,2021-12-06,XLK US Equity,21,short,166.7,176.65,0.059688062387522604,25.092,-4.0118566360509025,put,166.7,4.0118566360509025,0.0,-401.18566360509027,None
S0003,2021-12-07,XLK US Equity,21,short,172.52,175.73,0.018606538372362504,21.021,-3.4783024933811477,put,172.52,3.4783024933811477,0.0,-347.83024933811475,None
S0003,2021-12-08,XLK US Equity,21,short,173.31,175.88,0.014828919277595021,19.935,-3.3137091627815116,put,173.31,3.3137091627815116,0.0,-331.3709162781512,None
S0003,2021-12-09,XLK US Equity,21,short,171.44,174.72,0.01913205786280915,22.095,-3.6331279281495457,put,171.44,3.6331279281495457,0.0,-363.31279281495455,None
S0003,2025-02-21,XLK US Equity,21,short,234.87,213.94,-0.0891131264103547,22.224,15.923614331542943,put,234.87,5.006385668457065,20.930000000000007,1592.3614331542942,None
S0003,2025-02-25,XLK US Equity,21,short,228.51,212.15,-0.07159424095225586,25.008,10.879013941716895,put,228.51,5.480986058283089,16.359999999999985,1087.9013941716896,None
S0003,2021-03-09,XLF US Equity,1,short,33.83,34.52,0.020396098137747704,24.364,-0.17251047367268924,put,33.83,0.17251047367268924,0.0,-17.251047367268924,None
S0003,2021-03-10,XLF US Equity,1,short,34.52,34.42,-0.0028968713789108173,24.024,-0.07357252658453012,put,34.52,0.17357252658453154,0.10000000000000142,-7.357252658453012,None
S0003,2021-03-11,XLF US Equity,1,short,34.42,34.77,0.010168506682161575,24.433,-0.1760161591462467,put,34.42,0.1760161591462467,0.0,-17.60161591462467,None
S0003,2021-03-12,XLF US Equity,1,short,34.77,34.77,0.0,24.65,-0.1793851521587402,put,34.77,0.1793851521587402,0.0,-17.93851521587402,None
S0003,2021-12-03,XLF US Equity,1,short,38.03,38.03,0.0,31.238,-0.2486419625234895,put,38.03,0.2486419625234895,0.0,-24.86419625234895,None
S0003,2021-12-06,XLF US Equity,1,short,38.61,39.3,0.017871017871017813,30.642,-0.24761775904459593,put,38.61,0.24761775904459593,0.0,-24.761775904459594,None
S0003,2021-12-07,XLF US Equity,1,short,39.3,39.09,-0.005343511450381521,21.444,0.033614358892003815,put,39.3,0.17638564110798993,0.20999999999999375,3.3614358892003815,None
S0003,2021-12-08,XLF US Equity,1,short,39.09,39.01,-0.0020465592223076336,21.091,-0.09255506877707662,put,39.09,0.17255506877708202,0.0800000000000054,-9.255506877707662,None
S0003,2021-12-09,XLF US Equity,1,short,39.01,39.05,0.0010253781081773685,21.218,-0.1732388429362783,put,39.01,0.1732388429362783,0.0,-17.32388429362783,None
S0003,2025-02-21,XLF US Equity,1,short,50.75,50.75,0.0,17.019,-0.18077358212900907,put,50.75,0.18077358212900907,0.0,-18.077358212900908,None
S0003,2025-02-25,XLF US Equity,1,short,50.96,50.85,-0.0021585557299842904,17.593,-0.07764379210481148,put,50.96,0.1876437921048109,0.10999999999999943,-7.764379210481148,None
S0003,2021-03-09,XLF US Equity,3,short,33.83,34.77,0.027785988767366387,24.364,-0.2987969052388709,put,33.83,0.2987969052388709,0.0,-29.879690523887092,None
S0003,2021-03-10,XLF US Equity,3,short,34.52,34.77,0.0072421784472769405,24.024,-0.3006364348425083,put,34.52,0.3006364348425083,0.0,-30.06364348425083,None
S0003,2021-03-11,XLF US Equity,3,short,34.42,34.57,0.004357931435212044,24.433,-0.3048689305944286,put,34.42,0.3048689305944286,0.0,-30.48689305944286,None
S0003,2021-03-12,XLF US Equity,3,short,34.77,34.57,-0.005752085130860018,24.65,-0.11070419766240908,put,34.77,0.3107041976624119,0.20000000000000284,-11.070419766240908,None
S0003,2021-12-03,XLF US Equity,3,short,38.03,38.61,0.015251117538785124,31.238,-0.43066051198432054,put,38.03,0.43066051198432054,0.0,-43.066051198432056,None
